pile_idx1,pile_idx2,pile_name1,pile_name2,term,term_idx,mds_xcoord,mds_ycoord,neighbors1,neighbors2,performances
26,0,intense,Beethoven,tragic,139,-0.37260264,0.5133639,"[41, 49, 61, 77, 146]","[41, 48, 53, 77, 98, 99, 103, 105, 110, 112, 123]","[12, 42]"
36,28,robotic,machine-like,unchanging_dynamics,140,0.18392792,0.8257278,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 127, 131, 133, 142, 143]","[27, 43, 71, 88, 92, 93, 107, 109, 117, 127, 128, 133, 143]",[]
42,24,uneven,hitting_the_piano,uneven,141,0.64079016,0.31945068,"[0, 15, 22, 72, 80, 132, 144, 145]","[0, 15, 20, 22, 23, 132, 145]","[30, 34, 42]"
36,30,robotic,military,uniform,142,0.28554204,0.31883144,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 127, 131, 133, 140, 143]","[7, 30, 35, 37, 47, 87, 96, 125]","[6, 34, 39, 41, 42, 46, 52]"
36,28,robotic,machine-like,uninspired,143,0.019129166,0.5427381,"[8, 11, 31, 44, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142]","[27, 43, 71, 88, 92, 93, 107, 109, 117, 127, 128, 133, 140]","[8, 32, 35]"
42,2,uneven,Gould2,unpredictable,144,0.63445896,0.06801259,"[0, 15, 22, 72, 80, 132, 141, 145]","[51, 72]","[11, 26, 34, 38]"
42,24,uneven,hitting_the_piano,unrhythmic,145,0.8030975,0.14652148,"[0, 15, 22, 72, 80, 132, 141, 144]","[0, 15, 20, 22, 23, 132, 141]",[30]
26,32,intense,professional,vast,146,-0.4737569,-0.75620747,"[41, 49, 61, 77, 139]","[10, 55, 60, 62, 91, 104, 108, 111, 129]",[]
37,31,round,peaceful,warm,147,-0.30334604,-0.2017015,"[17, 62, 82, 90, 111]","[16, 17, 58, 65, 82, 89, 90, 100, 116, 134]","[1, 6, 7, 9, 15, 47]"
43,18,weightless,ethereal,weightless,148,-0.75308055,0.22360176,"[4, 12, 32, 57, 58, 83, 98, 100, 116, 123]","[4, 12, 36, 57, 59, 83, 124, 136]",[32]
13,29,dark,melancholic,wistful,149,-0.6537355,-0.21438405,"[33, 125]","[33, 34, 69, 97, 114, 122]","[15, 50]"
